OBJECTID,Id da Instalação,Nome,Id Agente Principal,Agente Principal,Data Prevista,Data Prevista,Data Entrada,Data Entrada,x,y
32,ALPEN ,SUB PENEDO                                         AL       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-36.586388900999964,-10.290000007000003
33,ALRLD ,SUB RIO LARGO II                                   AL       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-35.83000000599998,-9.47052780599995
34,ALSTII,SUB SANTANA II                                     AL       ,BR3,BRE 3 IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE,3/20/2022,21/03/2022,9/20/2021,21/09/2021,-37.278713606,-9.365179904000001
35,AMCRR ,SUB LECHUGA                                        AM       ,MNA,MANAUS TRANSMISSORA DE ENERGIA S.A                             ,6/9/2013,10/06/2013,7/2/2013,03/07/2013,-59.99671900299995,-2.920107006999956
36,AMFG  ,SUB PRESIDENTE FIGUEIREDO                          AM       ,EAM,ENERGISA AMAZONAS TRANSMISSORA DE ENERGIA S.A.                 ,,,9/15/1998,16/09/1998,-60.025875001999964,-2.0343530029999783
37,AMITR ,SUB SILVES                                         AM       ,MNA,MANAUS TRANSMISSORA DE ENERGIA S.A                             ,6/9/2013,10/06/2013,7/2/2013,03/07/2013,-58.25890300399999,-2.6841730029999553
38,AMJTX ,SUB JORGE TEIXEIRA                                 AM       ,EAM,ENERGISA AMAZONAS TRANSMISSORA DE ENERGIA S.A.                 ,3/30/2014,31/03/2014,3/13/2014,14/03/2014,-59.89423200499999,-3.02155400099997
39,AMMN  ,SUB MANAUS                                         AM       ,EAM,ENERGISA AMAZONAS TRANSMISSORA DE ENERGIA S.A.                 ,,,12/30/1990,31/12/1990,-59.98527800299996,-3.0705559999999537
40,AMMT  ,SUB MAUA III                                       AM       ,AG ,AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA SA                   ,6/29/2014,30/06/2014,5/31/2014,01/06/2014,-59.928506002000006,-3.119101002999969
41,AMPAR ,SUB PARINTINS                                      AM       ,TIN,PARINTINS AMAZONAS TRANSMISSORA DE ENERGIA S.A.                ,3/21/2024,22/03/2024,6/13/2023,14/06/2023,-56.73385300499996,-2.670594006999977
42,AMTRM ,SUB TARUMA                                         AM       ,EAM,ENERGISA AMAZONAS TRANSMISSORA DE ENERGIA S.A.                 ,3/30/2026,31/03/2026,,,-60.057041003999984,-3.0115070049999986
43,APLAL ,SUB LARANJAL                                       AP       ,MCP,LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA SA                    ,2/27/2014,28/02/2014,1/20/2014,21/01/2014,-52.482151001999966,-0.8109390070000018
44,APMCP ,SUB MACAPA                                         AP       ,MCP,LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA SA                    ,2/27/2014,28/02/2014,1/20/2014,21/01/2014,-51.121867001,0.09938100000005079
45,ARPLI ,SUB PASO DE LOS  LIBRES                            AR       ,TNA,Transporte Energia Electrica Distribucion Troncal Noreste      ,,,6/1/2000,02/06/2000,-57.079166703,-29.651666702
46,BAABD ,SUB ABIL II                                        BA       ,986,Renova Energia SA                                              ,3/30/2022,31/03/2022,10/26/2022,27/10/2022,-42.575483002,-14.353822000999969
47,BAABL ,SUB ABIL-I                                         BA       ,BIL,CENTRAIS EOLICAS ABIL S.A.                                     ,12/29/2016,30/12/2016,2/9/2022,10/02/2022,-42.575842000999955,-14.353933006999966
48,BAABX ,SUB ABAIXADORA                                     BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.194200002,-9.395278007000002
49,BAALC1,SUB ALCAÇUZ                                        BA       ,LCZ,CENTRAIS EÓLICAS ALCAÇUZ S.A.                                  ,6/30/2016,01/07/2016,,,-42.69359400099995,-13.816453002999992
50,BAALG ,SUB ALAGOINHAS II                                  BA       ,BIS,BRE 2 IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE,3/20/2023,21/03/2023,4/21/2023,22/04/2023,-38.400113902999976,-12.048938900999985
51,BAALV ,SUB ALVORADA                                       BA       ,ALV,Centrais Eólicas Alvorada SA                                   ,4/29/2014,30/04/2014,7/3/2014,04/07/2014,-42.636807001999955,-14.208409003999975
52,BAARA ,SUB ARACAS                                         BA       ,ASD,Centrais Eólicas dos Araças SA                                 ,10/30/2014,31/10/2014,10/10/2014,11/10/2014,-42.609369001999994,-14.102794007
53,BAASU ,SUB ASSURUA                                        BA       ,CP3,PARQUE EÓLICO CAPOEIRAS III S.A.                               ,12/30/2017,31/12/2017,4/12/2018,13/04/2018,-42.70830000199999,-11.195600002999981
54,BABAB ,SUB BABILONIA                                      BA       ,BA3,CENTRAL EOLICA BABILONIA III S.A.                              ,8/30/2018,31/08/2018,11/13/2018,14/11/2018,-41.22799999999995,-10.970000006999953
55,BABDD ,SUB BRUMADO II                                     BA       ,AFT,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ,6/29/2002,30/06/2002,11/11/2002,12/11/2002,-41.63611110299996,-14.213611103999995
56,BABJD ,SUB BOM JESUS DA LAPA II                           BA       ,TAE,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ,4/29/2003,30/04/2003,3/3/2003,04/03/2003,-43.34292358899995,-13.31012588599998
57,BABJS ,SUB BOM JESUS DA LAPA                              BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-43.34611110399999,-13.308900006999977
58,BABMC ,SUB BROTAS DE MACAUBAS                             BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,6/29/2012,30/06/2012,6/16/2012,17/06/2012,-42.342846006,-12.30940899999996
59,BABOT ,SUB BOTUQUARA                                      BA       ,BTQ,Centrais Elétricas Botuquara Ltda.                             ,12/31/2016,01/01/2017,,,-42.89278100399997,-13.55551100599996
60,BABRA ,SUB BARREIRAS                                      BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-44.94555560499998,-12.131944402999977
61,BABRD ,SUB BARREIRAS II                                   BA       ,PTR,PARANAÍBA TRANSMISSORA DE ENERGIA S.A.                         ,3/11/2017,12/03/2017,5/27/2017,28/05/2017,-44.81371400499995,-12.171311005999996
62,BABRT ,SUB BURITIRAMA                                     BA       ,EQ2,Equatorial Transmissora 2 SPE SA                               ,1/16/2020,17/01/2020,1/21/2020,22/01/2020,-44.04746700099997,-10.602586000999963
63,BABSD ,SUB BOM JESUS II                                   PI       ,PDT,SAO PEDRO TRANSMISSORA DE ENERGIA S/A                          ,8/6/2017,07/08/2017,2/20/2018,21/02/2018,-44.31686700099999,-9.100731000999986
64,BABW1 ,SUB BW GUIRAPA I                                   BA       ,ANG,Central Eólica Angical                                         ,11/29/2015,30/11/2015,2/4/2016,05/02/2016,-42.608611002999965,-14.348889000999975
65,BABW2 ,SUB BW GUIRAPA II                                  BA       ,DUA,Central Eólica Tamanduá Mirim SA                               ,11/29/2015,30/11/2015,2/15/2016,16/02/2016,-42.62833300199998,-14.40305600399995
66,BACCD ,SUB CICERO DANTAS                                  BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.36722220499996,-10.595277800999952
67,BACFO ,SUB CAMPO FORMOSO                                  BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,11/29/2015,30/11/2015,10/9/2015,10/10/2015,-40.61323100299995,-10.584231004000003
68,BACLA ,SUB CAMPO LARGO                                    BA       ,WWP,CLWP EOLICA PARQUE I S.A.                                      ,11/30/2018,01/12/2018,7/3/2018,04/07/2018,-41.33972220099997,-10.87333330499996
69,BACMD ,SUB CAMACARI II                                    BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.348055504,-12.617777801999978
70,BACMQ ,SUB CAMACARI IV                                    BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,11/18/2012,19/11/2012,11/18/2012,19/11/2012,-38.34283300499999,-12.611028000999966
71,BACND ,SUB CASA NOVA II                                   BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,9/29/2017,30/09/2017,12/8/2017,09/12/2017,-41.02800000499997,-9.286400005999951
72,BACPBR,SUB PEDRA BRANCA                                   BA       ,DRA,PEDRA BRANCA SA                                                ,3/30/2013,31/03/2013,2/2/2013,03/02/2013,-41.09000000399999,-9.856667004999963
73,BACRI ,SUB CRISTAL                                        BA       ,IST,Enel Green Power Cristal Eólica SA                             ,1/30/2017,31/01/2017,11/9/2017,10/11/2017,-41.378256000999954,-11.735466003999989
74,BACTA ,SUB CAETITE A                                      BA       ,TTA,EOLICA CAETITE A S.A.                                          ,10/30/2015,31/10/2015,9/8/2015,09/09/2015,-42.47820600099999,-14.138050004999968
75,BACTE ,SUB CAETITE                                        BA       ,ETI,Centrais Eólicas Caetité Ltda                                  ,11/29/2015,30/11/2015,12/31/2015,01/01/2016,-42.58293500499997,-14.468988002000003
76,BACTG ,SUB COTEGIPE                                       BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.42777780399996,-12.791388906999998
77,BACTT ,SUB CAETITE 123                                    BA       ,968,Caetité 2 Energia Renovável S.A.                               ,10/30/2014,31/10/2014,10/2/2014,03/10/2014,-42.49335600399996,-14.18629200099997
78,BACTU ,SUB CATU                                           BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.366944402,-12.39138890099997
79,BACVN ,SUB CURVA DOS VENTOS                               BA       ,GRR,ENEL GREEN POWER EMILIANA EÓLICA SA                            ,7/30/2014,31/07/2014,9/25/2014,26/09/2014,-42.61620100599998,-13.91636400699997
80,BADFN ,SUB DELFINA                                        BA       ,DLF,ENEL GREEN POWER DELFINA A EÓLICA S.A.                         ,9/30/2017,01/10/2017,10/30/2017,31/10/2017,-40.92990000499998,-10.007217004999973
81,BAENP ,SUB EUNAPOLIS                                      BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-39.580277800999966,-16.377222202999974
82,BAFDS ,SUB FOLHA DE SERRA                                 BA       ,BLV,CENTRAIS EOLICAS FOLHA DA SERRA S.A                            ,12/29/2016,30/12/2016,2/1/2022,02/02/2022,-42.56164099999995,-14.542464800999994
83,BAFNL ,SUB FUNIL                                          BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,2/5/2000,06/02/2000,-39.46277800199999,-14.232222005999972
84,BAFRD ,SUB FORD                                           BA       ,AFT,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ,,,12/30/1990,31/12/1990,-38.27745700599996,-12.66931400499999
85,BAFS3 ,SUB FEIRA DE SANTANA III                           BA       ,YON,FS TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                       ,3/20/2022,21/03/2022,9/1/2022,02/09/2022,-38.949611104999974,-12.134166702999948
86,BAGBL ,SUB GLOBAL                                         BA       ,C10,COMPANHIA ENERGETICA CANDEIAS                                  ,6/29/2010,30/06/2010,5/6/2010,07/05/2010,-38.482917002999955,-12.727500007000003
87,BAGOI ,SUB GENTIO DO OURO I                               BA       ,SSR,ASSURUA 1 II ENERGIA S.A.                                      ,2/27/2016,28/02/2016,4/4/2016,05/04/2016,-42.66154400299996,-11.11735299999998
88,BAGOR ,SUB GENTIO DO OURO II                              BA       ,JMM,TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.         ,3/26/2018,27/03/2018,5/3/2018,04/05/2018,-42.64555600299997,-11.317778006999959
89,BAGRP ,SUB GUIRAPA                                        BA       ,GPA,Centrais Eólicas Guirapá SA                                    ,4/29/2014,30/04/2014,7/3/2014,04/07/2014,-42.598414004000006,-14.17214200699999
90,BAGVM ,SUB GOVERNADOR MANGABEIRA                          BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-39.03333330199996,-12.60638890499996
91,BAICA ,SUB IBICOARA                                       BA       ,TAE,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ,3/30/2003,31/03/2003,3/3/2003,04/03/2003,-41.37555560499999,-13.442500002999964
92,BAIGB ,SUB ITAGIBA                                        BA       ,AFT,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ,10/30/2009,31/10/2009,9/12/2009,13/09/2009,-39.71658900399996,-14.234494000999973
93,BAIGD ,SUB IGAPORA II                                     BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,5/30/2014,31/05/2014,5/29/2014,30/05/2014,-42.629444003,-14.027222000999984
94,BAIGT ,SUB IGAPORA III                                    BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,10/24/2015,25/10/2015,11/14/2015,15/11/2015,-42.61969400199996,-14.015189007000004
95,BAIRE ,SUB IRECE                                          BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-41.80768800499999,-11.309515006999959
96,BAITB3,SUB ITABUNA III                                    BA       ,AE3,ARTEON Z3 ENERGIA S.A.                                         ,2/24/2021,25/02/2021,11/25/2021,26/11/2021,-39.26870830399997,-14.829030603999968
97,BAJCR ,SUB JACARACANGA                                    BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.48444440199995,-12.69305559999998
98,BAJGR ,SUB JAGUARARI-SE                                   BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-39.96666700399999,-9.850000002000002
99,BAJZD ,SUB JUAZEIRO II                                    BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-40.477222203999986,-9.479972205999957
100,BAJZS ,SUB JUAZEIRO SOLAR                                 BA       ,JSI,Central Fotovoltaica Juazeiro Solar I SPE Ltda                 ,11/29/2018,30/11/2018,12/11/2018,12/12/2018,-40.488999999999976,-9.533300005000001
101,BAJZT ,SUB JUAZEIRO DA BAHIA III                          BA       ,ODO,ARGO V TRANSMISSAO DE ENERGIA S.A                              ,12/20/2016,21/12/2016,9/3/2016,04/09/2016,-40.48122100499995,-9.47123200499999
102,BALAL ,SUB LICINIO DE ALMEIDA                             BA       ,ODA,Centrais Eólicas Licínio de Almeida SA                         ,3/29/2013,30/03/2013,7/3/2014,04/07/2014,-42.640231005999965,-14.183517999999992
103,BAMOR ,SUB MORRAO                                         BA       ,MOO,Centrais Elétricas Morrão SA                                   ,10/30/2014,31/10/2014,10/10/2014,11/10/2014,-42.681442000000004,-14.128731004999963
104,BAMPD ,SUB MORRO DO CHAPEU II                             BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,8/30/2017,31/08/2017,7/31/2017,01/08/2017,-41.350884004999955,-11.723876007000001
105,BAMTT ,SUB MATATU                                         BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.48444440199995,-12.97555560699999
106,BANRD ,SUB NARANDIBA                                      BA       ,NRD,SE NARANDIBA S.A.                                              ,6/29/2011,30/06/2011,6/5/2011,06/06/2011,-38.445330001,-12.953720406000002
107,BANSC ,SUB NOSSA SENHORA DA CONCEICAO                     BA       ,NSC,Centrais Eólicas Nossa Senhora da Conceição SA                 ,3/29/2014,30/03/2014,7/3/2014,04/07/2014,-42.66591300099998,-13.886154003999991
108,BAOLD ,SUB OLINDINA                                       BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.38640000699996,-11.316100001999985
109,BAOUR ,SUB OUROLANDIA II                                  BA       ,JMM,TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.         ,3/26/2018,27/03/2018,5/3/2018,04/05/2018,-41.254033006999975,-10.798733003999985
110,BAPAF ,SUB PAULO AFONSO III                               BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.197800003,-9.402200005999987
111,BAPAQ ,SUB SE PAULO  AFONSO IV                            BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.19777779999998,-9.412500002000002
112,BAPEL ,SUB PELOURINHO                                     BA       ,NOO,Centrais Eólicas Pelourinho Ltda                               ,11/29/2015,30/11/2015,12/31/2015,01/01/2016,-42.58838700499996,-14.50929300499996
113,BAPLO ,SUB POLO                                           BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,7/30/2009,31/07/2009,2/7/2009,08/02/2009,-38.273905999999954,-12.662964001999967
114,BAPND ,SUB PINDAI II                                      BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,10/24/2015,25/10/2015,11/14/2015,15/11/2015,-42.60776700099996,-14.415433004999954
115,BAPNT ,SUB PLANALTINA                                     BA       ,PTA,Centrais Eólicas Planaltina SA                                 ,3/29/2014,30/03/2014,7/3/2014,04/07/2014,-42.63900600399995,-13.997313000999952
116,BAPOD ,SUB POCOES II                                      BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,10/28/2019,29/10/2019,10/26/2019,27/10/2019,-40.37510300399998,-14.517532005999954
117,BAPOT ,SUB POCOES III                                     BA       ,IBT,EDTE - EMPRESA DIAMANTINA DE TRANSMISSÃO DE ENERGIA S.A.       ,12/26/2019,27/12/2019,12/21/2019,22/12/2019,-40.398938902,-14.518956504999949
118,BAPRJ ,SUB PIRAJA                                         BA       ,MEZ,MEZ 1 ENERGIA S.A.                                             ,8/27/2024,28/08/2024,,,-38.45592199999999,-12.92214400399996
119,BAPTU ,SUB PITUACU                                        BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.420000001999995,-12.939166702999955
120,BARDE ,SUB RIO DAS EGUAS                                  BA       ,TAE,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ,3/30/2003,31/03/2003,3/3/2003,04/03/2003,-46.17750000199999,-13.85083330499998
121,BARFM ,SUB RIO FORMOSO II                                 BA       ,KT6,NEOENERGIA RIO FORMOSO TRANSMISSAO E ENERGIA S.A.              ,9/14/2022,15/09/2022,1/28/2023,29/01/2023,-45.660417005,-14.536722005000001
122,BARGD ,SUB RIO GRANDE II                                  BA       ,PDT,SAO PEDRO TRANSMISSORA DE ENERGIA S/A                          ,3/11/2017,12/03/2017,5/27/2017,28/05/2017,-45.48945800199999,-12.845135003999985
123,BASAZ ,SUB SERRA AZUL                                     BA       ,ASC,Enel Green Power Damascena Eólica SA                           ,9/29/2016,30/09/2016,11/13/2015,14/11/2015,-41.45839400599999,-11.866389006999952
124,BASDB ,SUB SERRA DA BABILONIA                             BA       ,SDB,EÓLICA SERRA DA BABILÔNIA II S.A.                              ,9/29/2018,30/09/2018,12/11/2018,12/12/2018,-41.32873330299998,-11.10466110699997
125,BASNB ,SUB SENHOR DO BONFIM II                            BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-40.186944402999984,-10.45444440099999
126,BASPD ,SUB SAO PEDRO                                      BA       ,PDO,Central Fotovoltaica São Pedro II Ltda                         ,7/30/2018,31/07/2018,11/7/2018,08/11/2018,-43.272800005999954,-13.31640000699997
127,BASPU ,SUB SAPEACU                                        BA       ,TAE,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ,4/29/2003,30/04/2003,3/3/2003,04/03/2003,-39.18333329999996,-12.719444401999965
128,BASTJ ,SUB SANTO ANTONIO DE JESUS                         BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-39.26638890099997,-12.949722200999986
129,BATBD ,SUB TAMBORIL II                                    BA       ,ACC,CENTRAIS EOLICAS ACACIA S.A.                                   ,9/29/2017,30/09/2017,5/17/2022,18/05/2022,-42.69290870399999,-13.88874199999998
130,BATBR ,SUB TAMBORIL I                                     BA       ,RRV,Centrais Eólicas Amescla S.A.                                  ,6/30/2016,01/07/2016,10/21/2022,22/10/2022,-42.69306040599997,-13.88875859999996
131,BATBV ,SUB TABOCAS DO BREJO VELHO                         BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,3/30/2017,31/03/2017,6/3/2017,04/06/2017,-44.06151020499999,-12.810368001999962
132,BATMB ,SUB TOMBA                                          BA       ,AFT,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ,,,2/5/2000,06/02/2000,-38.967222205999974,-12.28736100399999
133,BATXF ,SUB TEIXEIRA DE FREITAS II                         BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,4/29/2019,30/04/2019,3/31/2019,01/04/2019,-39.73049830599996,-17.570299103999957
134,BAUBN ,SUB UMBURANAS                                      BA       ,UB1,EÓLICA UMBURANAS 1 S.A.                                        ,11/29/2018,30/11/2018,1/3/2019,04/01/2019,-41.568600006,-10.670800000999975
135,BAUITP,SUB ITAPEBI SE                                     BA       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,12/31/2002,01/01/2003,1/30/2003,31/01/2003,-39.584745618,-15.969236025999976
136,BAUMB ,SUB UMBUZEIRO                                      BA       ,BZZ,Centrais Eólicas Umbuzeiro S.A.                                ,6/30/2016,01/07/2016,,,-42.672094001999994,-14.008950002999995
137,BAVB2 ,SUB VENTOS DA BAHIA II                             BA       ,VB1,Parque Eólico Ventos da Bahia I                                ,4/29/2018,30/04/2018,9/6/2018,07/09/2018,-41.490600004999976,-11.981400006000001
138,BAVCC ,SUB VERACEL                                        BA       ,VEL,Veracel Celulose                                               ,9/29/2006,30/09/2006,1/8/2004,09/01/2004,-39.40611100199999,-16.08333300099997
139,BAZBU ,SUB ZEBU                                           AL       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,8/15/2012,16/08/2012,6/1/2000,02/06/2000,-38.20277800399998,-9.355833001999997
140,CEACT ,SUB ARACATI III                                    CE       ,,,12/30/2022,31/12/2022,,,-37.81869700599998,-4.470939002999955
141,CEAQR ,SUB AQUIRAZ II                                     CE       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,12/29/2013,30/12/2013,12/10/2013,11/12/2013,-38.38848899999999,-3.9190809059999765
142,CEARC2,SUB ARACATI II                                     CE       ,ERE,CPFL ENERGIAS RENOVAVEIS S.A.                                  ,12/29/2009,30/12/2009,1/25/2010,26/01/2010,-37.763092003999986,-4.4880190049999555
143,CEAUD ,SUB ACARAU II                                      CE       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,4/29/2010,30/04/2010,5/25/2010,26/05/2010,-40.116361006999966,-2.9297780019999777
144,CEAUT ,SUB ACARAU III                                     CE       ,899,ARGO TRANSMISSÃO DE ENERGIA S.A.                               ,6/26/2019,27/06/2019,9/6/2019,07/09/2019,-40.11163300299995,-2.9280470009999817
145,CEBNB ,SUB BANABUIU                                       CE       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.91277780399997,-5.305250003999959
146,CECAL ,SUB CALCARIO                                       CE       ,API,APODI I ENERGIA SPE S/A                                        ,6/29/2018,30/06/2018,11/27/2018,28/11/2018,-37.78500000399998,-5.03470000599998
147,CECBS ,SUB CACIMBAS                                       CE       ,BVC,GERADORA EOLICA BONS VENTOS DA SERRA 2 S.A.                    ,12/29/2017,30/12/2017,5/9/2018,10/05/2018,-41.04278300699997,-3.9061110019999887
148,CECPE ,SUB CAUIPE                                         CE       ,CHF,CHESF - Companhia Hidro Elétrica do São Francisco              ,,,6/1/2000,02/06/2000,-38.87166700499995,-3.697500004999995
149,CECRA2,SUB CRATO II                                       CE       ,DP2,DOM PEDRO II TRANSMISSORA DE ENERGIA SPE LTDA.                 ,9/19/2023,20/09/2023,,,-39.411944403999996,-7.200555503999965
150,CEDM2 ,SUB DIAS MACEDO II                                 CE       ,BR4,BRE 4 IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE,3/30/2026,31/03/2026,,,-38.51694440099999,-3.788333303999991
